source_id,material_label,family,composition_json,E_Pa,rho_kg_m3,alpha_1_K,a_m2_s,sigma_y_Pa,cost_vol,cost_currency,Tg_K,m_fragility,provenance_json
SG-215-20100,SG-215-20100,germanate,"{""GeO2_mol_frac"": 0.6944445037841797, ""Na2O_mol_frac"": 0.097916669845581, ""SiO2_mol_frac"": 0.097916669845581}",53400001525.87891,3661.999940872192,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 0, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20101,SG-215-20101,germanate,"{""GeO2_mol_frac"": 0.6729474639892579, ""Na2O_mol_frac"": 0.0948855972290039, ""SiO2_mol_frac"": 0.0948855972290039}",56799999237.06055,3742.000102996826,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 1, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20103,SG-215-20103,germanate,"{""GeO2_mol_frac"": 0.7716049194335938, ""Na2O_mol_frac"": 0.1087963008880615, ""SiO2_mol_frac"": 0.1087963008880615}",70000000000.0,3849.999904632568,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 2, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20104,SG-215-20104,germanate,"{""GeO2_mol_frac"": 0.7627764892578125, ""Na2O_mol_frac"": 0.1075514888763427, ""SiO2_mol_frac"": 0.1075514888763427}",70199996948.24219,3851.9999980926514,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 3, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20105,SG-215-20105,germanate,"{""GeO2_mol_frac"": 0.7541477966308594, ""Na2O_mol_frac"": 0.1063348388671875, ""SiO2_mol_frac"": 0.1063348388671875}",70500000000.0,3867.000102996826,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 4, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20106,SG-215-20106,germanate,"{""GeO2_mol_frac"": 0.7457121276855468, ""Na2O_mol_frac"": 0.1051454067230224, ""SiO2_mol_frac"": 0.1051454067230224}",70900001525.8789,3878.999948501587,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 5, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20133,SG-215-20133,germanate,"{""GeO2_mol_frac"": 0.7342143249511719, ""Na2O_mol_frac"": 0.1035242271423339, ""SiO2_mol_frac"": 0.1035242271423339, ""TiO2_mol_frac"": 0.0587371444702148}",71400001525.8789,3796.999931335449,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 6, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20134,SG-215-20134,germanate,"{""GeO2_mol_frac"": 0.6944445037841797, ""Na2O_mol_frac"": 0.097916669845581, ""SiO2_mol_frac"": 0.097916669845581, ""TiO2_mol_frac"": 0.1097222328186035}",74099998474.1211,3743.99995803833,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 7, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20135,SG-215-20135,germanate,"{""GeO2_mol_frac"": 0.6443299102783203, ""Na2O_mol_frac"": 0.0908505153656006, ""SiO2_mol_frac"": 0.0908505153656006, ""TiO2_mol_frac"": 0.1739690780639648}",72900001525.8789,3684.999942779541,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 8, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20151,SG-215-20151,germanate,"{""GeO2_mol_frac"": 0.7662835693359376, ""Na2O_mol_frac"": 0.1080459785461425, ""SiO2_mol_frac"": 0.1080459785461425}",70000000000.0,3839.999914169312,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 9, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20152,SG-215-20152,germanate,"{""GeO2_mol_frac"": 0.7501875305175781, ""Na2O_mol_frac"": 0.1057764434814453, ""SiO2_mol_frac"": 0.1057764434814453}",69000000000.0,3818.000078201294,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 10, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20153,SG-215-20153,germanate,"{""GeO2_mol_frac"": 0.7342143249511719, ""Na2O_mol_frac"": 0.1035242271423339, ""SiO2_mol_frac"": 0.1035242271423339}",68800003051.75781,3805.999994277954,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 11, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20154,SG-215-20154,germanate,"{""GeO2_mol_frac"": 0.7158196258544922, ""Na2O_mol_frac"": 0.1009305667877197, ""SiO2_mol_frac"": 0.1009305667877197}",69300003051.75781,3805.000066757202,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 12, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
SG-215-20155,SG-215-20155,germanate,"{""GeO2_mol_frac"": 0.6963788604736328, ""Na2O_mol_frac"": 0.0981894207000732, ""SiO2_mol_frac"": 0.0981894207000732}",70900001525.8789,3825.999975204468,,,,,,,,"{""dataset"": ""sciglass_scigk_sample"", ""row_index"": 13, ""notes"": ""SciGlass SciGK.csv; cite EPAM/drcassar + license""}"
